Id,Name,Age,Grade,LetterGrade
S1001,Erick Barkley,34,79.49228632,H
S1002,Walter Russell Mead,33,99.23480798,H
S1003,Emmet G Sullivan,34,82.46017114,H
S1004,William H Ginsburg,31,86.381967,H
S1005,Julius Rudel,28,85.1759342,H
S1006,Paul Gauguin,36,69.14726414,H
S1007,Ginia Bellafante,20,99.83438889,H
S1008,Eli Wallach,23,64.96139076,H
S1009,Virgo Teresa (Mother),21,54.22406015,H
S1010,Ian Bostridge,32,73.70021095,H
S1011,Lynn Sherr,19,81.61882383,H
S1012,Gloria Trevi,33,52.40627203,H
S1013,Johan Santana,22,53.4424003,H
S1014,Judith S Kaye,21,86.15719112,H
S1015,Caroline Knapp,21,90.65538691,H
S1016,Ruud Lubbers,32,56.74990415,H
S1017,Jerome Kerviel,20,93.01693073,H
S1018,Jean Cocteau,31,78.68443194,H
S1019,Steven T Florio,22,55.42535871,H
S1020,Alice Waters,24,85.4657136,H
S1021,Colin Farrell,19,51.94573485,H
S1022,Lanny J Davis,29,97.74709682,H
S1023,Florence Griffith Joyner,34,83.6807071,H
S1024,Yevgeny M Primakov,18,97.03628529,H
S1025,Harry Belafonte,37,76.53407604,H
S1026,Louis J Freeh,20,71.58250877,H
S1027,Jose Contreras,18,54.11229455,H
S1028,Vikram S Pandit,26,56.4838107,H
S1029,Jay Chiat,29,61.35483965,H
S1030,Jean-Pierre Bemba,34,95.92017257,H
S1031,Johannes Brahms,27,95.92581303,H
S1032,Gustav Mahler,33,67.71290775,H
S1033,Hussein Chalayan,29,55.63977229,H
S1034,Frederick Barthelme,28,89.18136094,H
S1035,Meryl Streep,33,83.24682844,H
S1036,Robert W Pittman,24,66.98207562,H
S1037,Stanley Marcus,19,83.6502111,H
S1038,George Armstrong Custer,36,78.11886834,H
S1039,Lydia Polgreen,30,71.76483012,H
S1040,Diego Maradona,22,66.73092626,H
S1041,Jennifer Jason Leigh,34,53.83371754,H
S1042,Iris Murdoch,23,63.34314363,H
S1043,Roger Cohen,35,64.64462299,H
S1044,Orhan Pamuk,32,70.00198974,H
S1045,Maggie Gyllenhaal,21,73.69474102,H
S1046,Joyce Wadler,37,64.20682196,H
S1047,Eve Queler,27,64.05562945,H
S1048,Jeanine Pirro,21,75.21424098,H
S1049,Chris Osgood,25,68.43378127,H
S1050,Rufus Wainwright,32,54.63845085,H
S1051,Jason Arnott,21,50.11531342,H
S1052,Alan B Krueger,28,89.85605273,H
S1053,Bobby Labonte,35,87.9889494,H
S1054,Sherron S Watkins,20,95.97448395,H
S1055,Philip Guston,18,85.18899648,H
S1056,Roger Ebert,24,65.94240276,H
S1057,Nicholas Negroponte,22,58.02258775,H
S1058,Claudia Shear,19,52.7673727,H
S1059,Danny DeVito,19,98.16509541,H
S1060,Steny H Hoyer,36,93.80574945,H
S1061,Michael G Oxley,35,69.70730316,H
S1062,Tom Lantos,34,79.91787342,H
S1063,William Hurt,23,50.47859629,H
S1064,Ferdinand E Marcos,28,94.91953332,H
S1065,Franz Liszt,21,65.49463809,H
S1066,Aleksandr G Lukashenko,31,99.68467138,H
S1067,Brian Friel,25,51.82744484,H
S1068,Sandra Bullock,20,89.94484912,H
S1069,Tiger Woods,18,64.82219632,H
S1070,Nobuyuki Idei,29,82.1256062,H
S1071,Serena Williams,33,73.76365176,H
S1072,Diane von Furstenberg,32,96.88199317,H
S1073,Mary Robinson,18,90.39070436,H
S1074,Joaquin Phoenix,28,54.96297149,H
